date,number_of_marriages
2023-04-19,12
2023-06-19,14
2023-08-29,11
2023-08-10,17
2023-08-11,19
2023-12-04,17
2023-05-24,13
2023-02-11,15
2023-07-01,12
2023-03-19,19
2023-06-17,17
2023-05-08,10
2023-12-06,14
2023-05-14,15
2023-03-21,12
2023-08-04,18
2023-02-17,18
2023-11-30,17
2023-06-27,14
2023-02-26,28
2023-08-03,20
2023-12-07,10
2023-08-19,18
2023-05-25,9
2023-04-22,9
2023-10-16,8
2023-02-19,13
2023-03-08,12
2023-11-06,11
2023-04-17,21
2023-05-06,14
2023-09-28,19
2023-03-08,17
2023-01-07,14
2023-05-21,9
2023-06-16,13
2023-05-26,8
2023-04-29,20
2023-10-26,23
2023-06-07,20
2023-07-04,14
2023-11-29,8
2023-09-25,18
2023-03-14,12
2023-04-17,18
2023-12-02,17
2023-07-21,9
2023-09-20,13
2023-05-09,11
2023-09-23,15
2023-07-05,16
2023-11-12,15
2023-03-05,8
2023-04-08,11
2023-02-02,13
2023-03-14,15
2023-12-04,15
2023-04-13,15
2023-09-08,21
2023-09-29,14
2023-02-06,15
2023-03-24,19
2023-04-04,19
2023-02-04,19
2023-02-10,12
2023-12-08,15
2023-12-07,21
2023-02-17,19
2023-11-09,12
2023-07-18,13
2023-05-17,18
2023-06-05,18
2023-09-01,13
2023-01-29,9
2023-04-28,15
2023-08-23,19
2023-04-20,22
2023-10-14,20
2023-03-16,17
2023-06-21,8
2023-04-06,19
2023-03-08,13
2023-11-24,18
2023-04-21,17
2023-06-15,12
2023-01-10,18
2023-07-08,15
2023-08-11,19
2023-07-25,9
2023-04-22,9
2023-11-04,17
2023-08-05,14
2023-04-15,17
2023-05-14,20
2023-02-25,15
2023-10-25,18
2023-11-25,10
2023-07-14,9
2023-04-24,16
2023-12-10,18
